Z,xray,source,mac
3,O K-L3,Henke1974,1602
5,O K-L3,Henke1974,7416
8,O K-L3,Henke1974,1200
12,O K-L3,Henke1974,4174
13,O K-L3,Henke1974,6715
14,O K-L3,Henke1974,8790
22,O K-L3,Henke1974,22140
24,O K-L3,Henke1974,3143
25,O K-L3,Henke1974,3468
26,O K-L3,Henke1974,4001
27,O K-L3,Henke1974,4407
28,O K-L3,Henke1974,5245
29,O K-L3,Henke1974,5920
30,O K-L3,Henke1974,6548
31,O K-L3,Henke1974,7086
39,O K-L3,Henke1974,15140
40,O K-L3,Henke1974,16140
41,O K-L3,Henke1974,17850
42,O K-L3,Henke1974,18660
44,O K-L3,Henke1974,19680
50,O K-L3,Henke1974,23090
56,O K-L3,Henke1974,4560
57,O K-L3,Henke1974,4690
73,O K-L3,Henke1974,10560
74,O K-L3,Henke1974,10990
82,O K-L3,Henke1974,12470
83,O K-L3,Henke1974,12690
3,O K-L3,Henke1982,1600
5,O K-L3,Henke1982,7420
8,O K-L3,Henke1982,1200
12,O K-L3,Henke1982,5170
13,O K-L3,Henke1982,6720
14,O K-L3,Henke1982,8790
22,O K-L3,Henke1982,22100
24,O K-L3,Henke1982,3140
25,O K-L3,Henke1982,3470
26,O K-L3,Henke1982,4000
27,O K-L3,Henke1982,4410
28,O K-L3,Henke1982,5120
29,O K-L3,Henke1982,5920
30,O K-L3,Henke1982,6550
31,O K-L3,Henke1982,7090
39,O K-L3,Henke1982,15100
40,O K-L3,Henke1982,14800
41,O K-L3,Henke1982,15300
42,O K-L3,Henke1982,16700
44,O K-L3,Henke1982,19700
50,O K-L3,Henke1982,23100
56,O K-L3,Henke1982,4560
57,O K-L3,Henke1982,4690
73,O K-L3,Henke1982,10600
74,O K-L3,Henke1982,11000
82,O K-L3,Henke1982,12500
83,O K-L3,Henke1982,12700
3,O K-L3,Bastin1989,1600
5,O K-L3,Bastin1989,8550
8,O K-L3,Bastin1989,1200
12,O K-L3,Bastin1989,5170
13,O K-L3,Bastin1989,6720
14,O K-L3,Bastin1989,8790
22,O K-L3,Bastin1989,19900
24,O K-L3,Bastin1989,2900
25,O K-L3,Bastin1989,3470
26,O K-L3,Bastin1989,4000
27,O K-L3,Bastin1989,4500
28,O K-L3,Bastin1989,5120
29,O K-L3,Bastin1989,5920
30,O K-L3,Bastin1989,6350
31,O K-L3,Bastin1989,7090
39,O K-L3,Bastin1989,15100
40,O K-L3,Bastin1989,16200
41,O K-L3,Bastin1989,17100
42,O K-L3,Bastin1989,18000
44,O K-L3,Bastin1989,19700
50,O K-L3,Bastin1989,15050
56,O K-L3,Bastin1989,4560
57,O K-L3,Bastin1989,3600
73,O K-L3,Bastin1989,10600
74,O K-L3,Bastin1989,11300
82,O K-L3,Bastin1989,11000
83,O K-L3,Bastin1989,12100
5,B K-L2,Henke1974,3353
6,B K-L2,Henke1974,6456
7,B K-L2,Henke1974,10570
8,B K-L2,Henke1974,16530
13,B K-L2,Henke1974,65170
14,B K-L2,Henke1974,74180
22,B K-L2,Henke1974,15280
23,B K-L2,Henke1974,16710
24,B K-L2,Henke1974,20670
26,B K-L2,Henke1974,25780
27,B K-L2,Henke1974,28340
28,B K-L2,Henke1974,33090
40,B K-L2,Henke1974,38410
41,B K-L2,Henke1974,4417
42,B K-L2,Henke1974,4717
57,B K-L2,Henke1974,3826
73,B K-L2,Henke1974,20820
74,B K-L2,Henke1974,19660
92,B K-L2,Henke1974,2247
5,B K-L2,Henke1982,3350
6,B K-L2,Henke1982,6350
7,B K-L2,Henke1982,11200
8,B K-L2,Henke1982,16500
13,B K-L2,Henke1982,64000
14,B K-L2,Henke1982,84000
22,B K-L2,Henke1982,15300
23,B K-L2,Henke1982,16700
24,B K-L2,Henke1982,20700
26,B K-L2,Henke1982,27600
27,B K-L2,Henke1982,30900
28,B K-L2,Henke1982,35700
40,B K-L2,Henke1982,8270
41,B K-L2,Henke1982,6560
42,B K-L2,Henke1982,5610
57,B K-L2,Henke1982,3730
73,B K-L2,Henke1982,20800
74,B K-L2,Henke1982,19700
92,B K-L2,Henke1982,9020
5,B K-L2,Henke1993,3350
6,B K-L2,Henke1993,6400
7,B K-L2,Henke1993,10900
8,B K-L2,Henke1993,18500
13,B K-L2,Henke1993,77300
14,B K-L2,Henke1993,86100
22,B K-L2,Henke1993,16800
23,B K-L2,Henke1993,19900
24,B K-L2,Henke1993,22400
26,B K-L2,Henke1993,31000
27,B K-L2,Henke1993,30900
28,B K-L2,Henke1993,39600
40,B K-L2,Henke1993,7240
41,B K-L2,Henke1993,5470
42,B K-L2,Henke1993,5710
57,B K-L2,Henke1993,3400
73,B K-L2,Henke1993,20800
74,B K-L2,Henke1993,19400
92,B K-L2,Henke1993,9600
5,B K-L2,Bastin1997,3350
6,B K-L2,Bastin1997,6450
7,B K-L2,Bastin1997,10400
8,B K-L2,Bastin1997,16500
13,B K-L2,Bastin1997,64000
14,B K-L2,Bastin1997,81400
22,B K-L2,Bastin1997,15100
23,B K-L2,Bastin1997,18250
24,B K-L2,Bastin1997,20200
26,B K-L2,Bastin1997,27000
27,B K-L2,Bastin1997,33000
28,B K-L2,Bastin1997,41500
40,B K-L2,Bastin1997,4330
41,B K-L2,Bastin1997,4600
42,B K-L2,Bastin1997,4400
57,B K-L2,Bastin1997,2900
73,B K-L2,Bastin1997,21800
74,B K-L2,Bastin1997,20400
92,B K-L2,Bastin1997,8000
5,C K-L2,Henke1974,37020
6,C K-L2,Henke1974,2373
14,C K-L2,Henke1974,36980
22,C K-L2,Henke1974,8094
23,C K-L2,Henke1974,8840
24,C K-L2,Henke1974,10590
26,C K-L2,Henke1974,13300
40,C K-L2,Henke1974,31130
41,C K-L2,Henke1974,33990
42,C K-L2,Henke1974,32420
73,C K-L2,Henke1974,18390
74,C K-L2,Henke1974,18750
5,C K-L2,Ruste1979,37020
6,C K-L2,Ruste1979,2373
14,C K-L2,Ruste1979,36980
22,C K-L2,Ruste1979,8094
23,C K-L2,Ruste1979,9236
24,C K-L2,Ruste1979,10482
26,C K-L2,Ruste1979,13300
40,C K-L2,Ruste1979,31130
41,C K-L2,Ruste1979,24203
42,C K-L2,Ruste1979,15500
73,C K-L2,Ruste1979,20000
74,C K-L2,Ruste1979,21580
5,C K-L2,Henke1982,37000
6,C K-L2,Henke1982,2350
14,C K-L2,Henke1982,36800
22,C K-L2,Henke1982,8090
23,C K-L2,Henke1982,8840
24,C K-L2,Henke1982,10600
26,C K-L2,Henke1982,13900
40,C K-L2,Henke1982,21600
41,C K-L2,Henke1982,19400
42,C K-L2,Henke1982,16400
73,C K-L2,Henke1982,18400
74,C K-L2,Henke1982,18800
5,C K-L2,Kohlhaas1970,33000
14,C K-L2,Kohlhaas1970,31000
22,C K-L2,Kohlhaas1970,6900
23,C K-L2,Kohlhaas1970,7500
24,C K-L2,Kohlhaas1970,7700
26,C K-L2,Kohlhaas1970,9100
40,C K-L2,Kohlhaas1970,20600
41,C K-L2,Kohlhaas1970,15800
42,C K-L2,Kohlhaas1970,12500
73,C K-L2,Kohlhaas1970,8500
74,C K-L2,Kohlhaas1970,10000
5,C K-L2,Weisweiler1975,31000
6,C K-L2,Weisweiler1975,2535
14,C K-L2,Weisweiler1975,33000
22,C K-L2,Weisweiler1975,7500
23,C K-L2,Weisweiler1975,8500
24,C K-L2,Weisweiler1975,9500
26,C K-L2,Weisweiler1975,10800
40,C K-L2,Weisweiler1975,20600
41,C K-L2,Weisweiler1975,15800
42,C K-L2,Weisweiler1975,12500
73,C K-L2,Weisweiler1975,8500
74,C K-L2,Weisweiler1975,8700
5,C K-L2,Bastin1990,37000
6,C K-L2,Bastin1990,2373
14,C K-L2,Bastin1990,36000
22,C K-L2,Bastin1990,9000
23,C K-L2,Bastin1990,9700
24,C K-L2,Bastin1990,10700
26,C K-L2,Bastin1990,13500
40,C K-L2,Bastin1990,25500
41,C K-L2,Bastin1990,24800
42,C K-L2,Bastin1990,20600
73,C K-L2,Bastin1990,17000
74,C K-L2,Bastin1990,18600
5,N K-L3,Henke1974,15810
7,N K-L3,Henke1974,1637
13,N K-L3,Henke1974,13830
14,N K-L3,Henke1974,17690
22,N K-L3,Henke1974,4364
23,N K-L3,Henke1974,4790
24,N K-L3,Henke1974,5630
26,N K-L3,Henke1974,7121
40,N K-L3,Henke1974,25030
41,N K-L3,Henke1974,27190
42,N K-L3,Henke1974,23220
72,N K-L3,Henke1974,12910
73,N K-L3,Henke1974,13420
5,N K-L3,Henke1982,15800
7,N K-L3,Henke1982,1810
13,N K-L3,Henke1982,13800
14,N K-L3,Henke1982,16500
22,N K-L3,Henke1982,4360
23,N K-L3,Henke1982,4790
24,N K-L3,Henke1982,5630
26,N K-L3,Henke1982,7190
40,N K-L3,Henke1982,20400
41,N K-L3,Henke1982,21400
42,N K-L3,Henke1982,20200
72,N K-L3,Henke1982,12900
73,N K-L3,Henke1982,13400
5,N K-L3,Bastin1988,15800
7,N K-L3,Bastin1988,1810
13,N K-L3,Bastin1988,13100
14,N K-L3,Bastin1988,17170
22,N K-L3,Bastin1988,4360
23,N K-L3,Bastin1988,4790
24,N K-L3,Bastin1988,5630
26,N K-L3,Bastin1988,7190
40,N K-L3,Bastin1988,24000
41,N K-L3,Bastin1988,25000
42,N K-L3,Bastin1988,25000
72,N K-L3,Bastin1988,14050
73,N K-L3,Bastin1988,15000
